drug_name,num_prescriber,total_cost
ATORVASTATIN CALCIUM ,  5377.4004 , 5377.4004
MYRBETRIQ ,  5190.26 , 5190.26
AZOPT ,  4858.51 , 4858.51
AMBIEN CR ,  4792.29 , 4792.29
AMBIEN ,  4792.29 , 4792.29
FLUPHENAZINE DECANOATE ,  4736.79 , 4736.79
OLANZAPINE ,  4705.73 , 4705.73
FLUOCINONIDE ,  4508.1 , 4508.1
PATANOL ,  4412.86 , 4412.86
DIVALPROEX SODIUM ,  4355.82 , 4355.82
ZIPRASIDONE HCL ,  4284.99 , 4284.99
PRADAXA ,  4184.88 , 4184.88
ZOLPIDEM TARTRATE ER ,  4059.87 , 4059.87
SYMBICORT ,  4017.14 , 4017.14
HALOPERIDOL ,  3900.54 , 3900.54
VIIBRYD ,  3840.24 , 3840.24
ALPHAGAN P ,  3636.65 , 3636.65
TRIFLUOPERAZINE HCL ,  3609.49 , 3609.49
OMEPRAZOLE ,  3365.19 , 3365.19
CARBIDOPA-LEVODOPA ,  3359.01 , 3359.01
ESTRACE ,  3352.86 , 3352.86
LATANOPROST ,  3285.19 , 3285.19
BUPROPION XL ,  3111.04 , 3111.04
TIMOLOL MALEATE ,  3055.15 , 3055.15
WARFARIN SODIUM ,  3004.78 , 3004.78
ACETAZOLAMIDE ,  2990.85 , 2990.85
SYNTHROID ,  2986.17 , 2986.17
OLEPTRO ER ,  2919.43 , 2919.43
PERPHENAZINE ,  2891.51 , 2891.51
DESONIDE ,  2880.23 , 2880.23
TROSPIUM CHLORIDE ,  2848.75 , 2848.75
NOVOLOG ,  2660.21 , 2660.21
DONEPEZIL HCL ,  2650.23 , 2650.23
PRAVASTATIN SODIUM ,  2571.6099 , 2571.6099
BICALUTAMIDE ,  2558.4 , 2558.4
OXYCODONE-ACETAMINOPHEN ,  2538.61 , 2538.61
PATADAY ,  2525.93 , 2525.93
POTASSIUM CHLORIDE ,  2513.25 , 2513.25
LEVOTHYROXINE SODIUM ,  2456.69 , 2456.69
ALPRAZOLAM ,  2454.42 , 2454.42
DULOXETINE HCL ,  2446.21 , 2446.21
CELECOXIB ,  2348.21 , 2348.21
SIMVASTATIN ,  2322.78 , 2322.78
AMLODIPINE BESYLATE ,  2270.18 , 2270.18
OXYCODONE HCL ,  2266.2202 , 2266.2202
VENTOLIN HFA ,  2204.16 , 2204.16
CLONAZEPAM ,  2184.1501 , 2184.1501
ZOLPIDEM TARTRATE ,  2178.6301 , 2178.6301
THIOTHIXENE ,  2169.12 , 2169.12
FLUOXETINE HCL ,  2125.23 , 2125.23
METFORMIN HCL ,  2033.87 , 2033.87
LEVETIRACETAM ,  1953.11 , 1953.11
LISINOPRIL ,  1908.28 , 1908.28
TRAZODONE HCL ,  1899.95 , 1899.95
BENZTROPINE MESYLATE ,  1868.72 , 1868.72
FLUVOXAMINE MALEATE ,  1867.12 , 1867.12
MIRTAZAPINE ,  1849.72 , 1849.72
CLOPIDOGREL ,  1836.68 , 1836.68
LOSARTAN POTASSIUM ,  1757.49 , 1757.49
DEXTROAMPHETAMINE-AMPHETAMINE ,  1728.4 , 1728.4
BUPROPION HCL ,  1719.68 , 1719.68
BRIMONIDINE TARTRATE ,  1669.79 , 1669.79
LORAZEPAM ,  1646.8 , 1646.8
BUSPIRONE HCL ,  1622.15 , 1622.15
LAMOTRIGINE ,  1594.53 , 1594.53
DONEPEZIL HCL ODT ,  1590.42 , 1590.42
FENOFIBRATE ,  1560.07 , 1560.07
PYRIDOSTIGMINE BROMIDE ,  1526.56 , 1526.56
BROMFENAC SODIUM ,  1480.3 , 1480.3
PROPRANOLOL HCL ER ,  1477.71 , 1477.71
SERTRALINE HCL ,  1452.94 , 1452.94
CARBAMAZEPINE ER ,  1451.5 , 1451.5
KLOR-CON 10 ,  1390.41 , 1390.41
FLUPHENAZINE HCL ,  1323.9 , 1323.9
FUROSEMIDE ,  1313.61 , 1313.61
ALLOPURINOL ,  1312.8201 , 1312.8201
TEMAZEPAM ,  1217.6799 , 1217.6799
DESIPRAMINE HCL ,  1210.35 , 1210.35
CALCITRIOL ,  1181.15 , 1181.15
PAROXETINE HCL ,  1159.97 , 1159.97
AMANTADINE ,  1129.94 , 1129.94
MONTELUKAST SODIUM ,  1109.74 , 1109.74
AMITRIPTYLINE HCL ,  1079.7001 , 1079.7001
METOPROLOL TARTRATE ,  1066.25 , 1066.25
ESCITALOPRAM OXALATE ,  1004.47003 , 1004.47003
DORZOLAMIDE-TIMOLOL ,  987.04 , 987.04
ESTRADIOL ,  980.87 , 980.87
HYDROXYZINE HCL ,  945.5 , 945.5
PROAIR HFA ,  890.68 , 890.68
GLIPIZIDE ,  888.34 , 888.34
VENLAFAXINE HCL ER ,  875.74 , 875.74
CARVEDILOL ,  857.56 , 857.56
TERAZOSIN HCL ,  854.75 , 854.75
ALENDRONATE SODIUM ,  765.59 , 765.59
KETOCONAZOLE ,  742.05 , 742.05
NIFEDIPINE ER ,  734.27 , 734.27
BUPROPION HCL SR ,  713.11 , 713.11
BACLOFEN ,  700.8 , 700.8
ISOSORBIDE MONONITRATE ER ,  698.72 , 698.72
CIPROFLOXACIN HCL ,  698.35 , 698.35
TERCONAZOLE ,  693.63 , 693.63
CEPHALEXIN ,  689.96 , 689.96
OXCARBAZEPINE ,  687.17 , 687.17
FLUTICASONE PROPIONATE ,  680.12 , 680.12
METOLAZONE ,  670.58 , 670.58
DIAZEPAM ,  662.87 , 662.87
CARBIDOPA-LEVODOPA ER ,  651.07 , 651.07
PRAMIPEXOLE DIHYDROCHLORIDE ,  631.33 , 631.33
OLANZAPINE ODT ,  618.13 , 618.13
CITALOPRAM HBR ,  591.42 , 591.42
PREDNISONE ,  585.74 , 585.74
LOSARTAN-HYDROCHLOROTHIAZIDE ,  562.68 , 562.68
ZALEPLON ,  554.9 , 554.9
AFEDITAB CR ,  534.62 , 534.62
PANTOPRAZOLE SODIUM ,  533.55 , 533.55
FAMOTIDINE ,  525.65 , 525.65
AMOXICILLIN ,  523.13 , 523.13
HYDROCHLOROTHIAZIDE ,  512.18 , 512.18
IRBESARTAN ,  494.78 , 494.78
OXYBUTYNIN CHLORIDE ,  486.57 , 486.57
PHENYTOIN SODIUM EXTENDED ,  477.8 , 477.8
AMOXICILLIN-CLAVULANATE POTASS ,  445.51 , 445.51
VALSARTAN-HYDROCHLOROTHIAZIDE ,  444.41 , 444.41
POLYETHYLENE GLYCOL 3350 ,  440.37 , 440.37
PRIMIDONE ,  438.71 , 438.71
TRIHEXYPHENIDYL HCL ,  436.16 , 436.16
PHENOBARBITAL ,  416.37 , 416.37
DICLOXACILLIN SODIUM ,  409.57 , 409.57
LITHIUM CARBONATE ,  409.19 , 409.19
TOPIRAMATE ,  403.44 , 403.44
DORZOLAMIDE HCL ,  399.07 , 399.07
AMIODARONE HCL ,  394.65 , 394.65
GENTAMICIN SULFATE ,  372.18 , 372.18
NYSTOP ,  371.66 , 371.66
LITHIUM CARBONATE ER ,  371 , 371
IPRATROPIUM-ALBUTEROL ,  362.19 , 362.19
RANITIDINE HCL ,  345.95 , 345.95
SPIRONOLACTONE ,  332.37 , 332.37
ATENOLOL ,  324.75 , 324.75
SUCRALFATE ,  299.65 , 299.65
NAPROXEN ,  297.96 , 297.96
DOXEPIN HCL ,  270.66 , 270.66
NIFEDICAL XL ,  245.73 , 245.73
VALPROIC ACID ,  231.35 , 231.35
LACTULOSE ,  220.46 , 220.46
ERYTHROMYCIN ,  214.96 , 214.96
CARTIA XT ,  210.93 , 210.93
METOCLOPRAMIDE HCL ,  207.95 , 207.95
OFLOXACIN ,  198.16 , 198.16
TRIAMCINOLONE ACETONIDE ,  187.23 , 187.23
VENLAFAXINE HCL ,  182.59 , 182.59
TRIAMTERENE-HYDROCHLOROTHIAZID ,  172.7 , 172.7
ACYCLOVIR ,  162.6 , 162.6
HYDRALAZINE HCL ,  154.91 , 154.91
IBUPROFEN ,  151.26999 , 151.26999
PIOGLITAZONE HCL ,  151.2 , 151.2
RAMIPRIL ,  146.64 , 146.64
FLUCONAZOLE ,  145.66 , 145.66
METFORMIN HCL ER ,  144.19 , 144.19
BENAZEPRIL HCL ,  124.34 , 124.34
CLONIDINE HCL ,  118.9 , 118.9
AZITHROMYCIN ,  112.53 , 112.53
MEDROXYPROGESTERONE ACETATE ,  112.04 , 112.04
SULFAMETHOXAZOLE-TRIMETHOPRIM ,  105.32 , 105.32
MOMETASONE FUROATE ,  102.8 , 102.8
CARBAMAZEPINE ,  95.1 , 95.1
ACETAMINOPHEN-CODEINE ,  90.66 , 90.66
CHLORDIAZEPOXIDE HCL ,  89.19 , 89.19
NORTRIPTYLINE HCL ,  88.47 , 88.47
TRAMADOL HCL ,  49.55 , 49.55
CLINDAMYCIN HCL ,  28.9 , 28.9
